Code,Index,IsTurnedOn,Name,longname,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,NumMigrations,MultiYrMigrations,ExternalReproduction,RecruitType,IsFished,IsImpacted,isTAC,GroupType,IsPredator,IsCover,IsSiliconDep,IsAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend,numMoveEntries,isBioEroder,isSupplemented,isExternal,IsHeatMap,IsLTL,IsBenthos,IsFish,IsBiggerthanfish,Large_group,Large_group_alt,Large_group_alt2,Large_group_alt3,Subgroup,isVertebrate
COS,42,1,CohoSY_Fish,Coho Skagit Yearling,3,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Coho,Salmon,Fish,Vertebrate
COD,43,1,CohoDSY_Fish,Coho Deep South Yearling,3,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Coho,Salmon,Fish,Vertebrate
COY,44,1,CohoOY_Fish,Coho other Yearling,3,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Coho,Salmon,Fish,Vertebrate
COR,45,1,CohoRes_Fish,Coho resident Puget Sound wide,3,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,0,1,0,0,1,0,Fish,Salmon,Coho,Salmon,Fish,Vertebrate
CDR,47,1,CohoResD_Fish,Coho resident Deep South Yearling,3,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,0,1,0,0,1,0,Fish,Salmon,Coho,Salmon,Fish,Vertebrate
CMS,46,1,ChumHSY_Fish,Chum Hatch Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chum,Salmon,Fish,Vertebrate
CMF,48,1,ChumFSY_Fish,Chum Fall Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chum,Salmon,Fish,Vertebrate
CMH,49,1,ChumHCSY_Fish,Chum Hood Canal summer run Subyearling,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chum,Salmon,Fish,Vertebrate
PIS,50,1,PinkSY_Fish,Pink Salmon Subyearling,3,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Other salmon,Salmon,Fish,Vertebrate
SAL,51,1,OtherSal_Fish,Other salmonids,8,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Other salmon,Salmon,Fish,Vertebrate
SAF,52,1,SGeorgia_Fish,Strait of Georgia salmonids,5,1,2,1,1,1,1,1,1,1,1,4,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,2,1,1,0,0,1,0,Fish,Salmon,Chinook,Salmon,Fish,Vertebrate
FMM,53,1,Gadiods_Fish,Hake_Large gadoids,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,Fish,Piscivorous Fish,Piscivorous Fish,Piscivorous Fish,Fish,Vertebrate
FVS,54,1,LgDem_Fish,Large demersal predators,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,Fish,Piscivorous Fish,Piscivorous Fish,Piscivorous Fish,Fish,Vertebrate
ROC,55,1,DemRock_Fish,Demersal rockfish,10,1,2,1,4,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,Fish,Benthivorous Fish,Benthivorous Fish,Benthivorous Fish,Fish,Vertebrate
MRO,56,1,MidRock_Fish,Midwater rockfish,10,1,2,1,3,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,Fish,Benthivorous Fish,Benthivorous Fish,Benthivorous Fish,Fish,Vertebrate
DVR,57,1,DemVRock_Fish,Demersal vulnerable rockfish,10,1,2,1,7,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,Fish,Benthivorous Fish,Benthivorous Fish,Benthivorous Fish,Fish,Vertebrate
MVR,58,1,MidVRock_Fish,Midwater vulnerable rockfish,10,1,2,1,4,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,Fish,Benthivorous Fish,Benthivorous Fish,Benthivorous Fish,Fish,Vertebrate
SMD,59,1,SmDem_Fish,Small demersal fish,5,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,Fish,Benthivorous Fish,Benthivorous Fish,Benthivorous Fish,Fish,Vertebrate
FDF,60,1,SmFlat_Fish,Small-mouthed Flatfish,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,Fish,Benthivorous Fish,Benthivorous Fish,Benthivorous Fish,Fish,Vertebrate
HAP,61,1,PiscFlat_Fish,Piscivorous flatfish,10,1,2,1,2,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,Fish,Piscivorous Fish,Piscivorous Fish,Piscivorous Fish,Fish,Vertebrate
DOG,62,1,Spinydog_Fish,Spiny dogfish,10,1,2,1,7,1,1,1,1,0,0,0,1,1,0,SHARK,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,Shark,Shark,Shark,Shark,HTL,Vertebrate
SBL,63,1,Sixgill_Shark,Sixgill Shark,10,1,2,1,8,1,1,1,0,0,0,0,1,1,0,SHARK,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,1,Shark,Shark,Shark,Shark,HTL,Vertebrate
SSK,64,1,SkateRay,Skates,10,1,2,1,3,1,1,1,0,0,0,0,1,1,0,SHARK,1,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,1,Shark,Shark,Shark,Shark,HTL,Vertebrate
RAT,65,1,Ratfish,Ratfish,10,1,2,1,1,1,1,1,0,0,0,0,1,1,0,FISH,1,0,0,0,0,0,0,1,12,0,0,0,1,0,0,0,1,Shark,Shark,Shark,Shark,HTL,Vertebrate
SB,66,1,Pisc_Seabird,Seabirds (piscivorous),10,1,2,1,2,1,1,1,0,0,0,0,0,1,0,BIRD,1,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,1,Bird,Bird,Bird,Bird,HTL,Vertebrate
SP,67,1,NonPisc_Seabird,Seabirds (mainly non-piscivorous),10,1,2,1,2,1,1,1,0,0,0,0,0,1,0,BIRD,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,Bird,Bird,Bird,Bird,HTL,Vertebrate
BE,68,1,Raptors,Raptors,10,1,2,1,3,1,1,1,2,0,0,0,0,1,0,BIRD,1,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,1,Bird,Bird,Bird,Bird,HTL,Vertebrate
HSL,69,1,Harbor_seal,Harbor seals,10,1,2,1,2,1,1,1,0,0,0,0,0,1,0,MAMMAL,1,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,1,Mammal,Mammal,Mammal,Mammal,HTL,Vertebrate
CSL,70,1,California_sea_lion,California sea lions,10,1,2,1,1,1,1,1,1,0,1,1,0,1,0,MAMMAL,1,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,1,Mammal,Mammal,Mammal,Mammal,HTL,Vertebrate
PIN,71,1,Pinniped,Steller sea lions,10,1,2,1,3,1,1,1,1,0,0,0,0,1,0,MAMMAL,1,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,1,Mammal,Mammal,Mammal,Mammal,HTL,Vertebrate
PHR,72,1,Porpoise,Harbor porpoise,10,1,2,1,2,1,1,1,0,0,0,0,0,1,0,MAMMAL,1,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,1,Mammal,Mammal,Mammal,Mammal,HTL,Vertebrate
ROR,73,1,Res_Orca,Resident Orca,10,1,2,1,9,1,1,1,1,0,0,0,0,1,0,MAMMAL,1,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,1,Mammal,Mammal,Mammal,Mammal,HTL,Vertebrate
TOR,74,1,Trans_Orca,Transient Orca,10,1,2,1,9,1,1,1,2,0,1,1,0,1,0,MAMMAL,1,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,1,Mammal,Mammal,Mammal,Mammal,HTL,Vertebrate
HUW,75,1,Hump_whale,Humpback whales,10,1,2,1,8,1,1,1,1,0,1,1,0,1,0,MAMMAL,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,Mammal,Mammal,Mammal,Mammal,HTL,Vertebrate
DL,76,1,Lab_Det,Labile detritus,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,LAB_DET,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Detritus,Detritus,Detritus,Detritus,LTL,Invertebrate
DR,77,1,Ref_Det,Refractory detritus,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,REF_DET,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Detritus,Detritus,Detritus,Detritus,LTL,Invertebrate
DC,78,1,Carrion,Carrion,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,CARRION,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Detritus,Detritus,Detritus,Detritus,LTL,Invertebrate
